k,security_bits,type,bitlen,time_us
16,16,EC,32,12.169765
16,16,EC,32,12.572235
16,16,EC,32,13.386824
16,16,EC,32,12.564412
16,16,EC,32,12.492647
16,16,EC,32,12.558647
16,16,EC,32,12.622765
16,16,EC,32,12.674353
16,16,EC,32,12.668118
16,16,EC,32,12.632588
16,16,EC,32,12.417471
16,16,EC,32,12.642000
16,16,EC,32,12.717882
16,16,EC,32,12.754412
16,16,EC,32,12.605353
16,16,EC,32,12.897118
16,16,EC,32,12.426412
16,16,EC,32,12.369706
16,16,EC,32,12.757118
16,16,EC,32,12.378235
16,16,EC,32,12.239647
16,16,EC,32,12.570412
16,16,EC,32,12.617294
16,16,EC,32,12.282118
16,16,EC,32,12.050471
16,16,EC,32,12.673706
16,16,EC,32,12.493176
16,16,EC,32,12.641529
16,16,EC,32,12.489588
16,16,EC,32,12.473824
16,16,EC,32,13.198647
16,16,EC,32,12.916529
16,16,EC,32,12.440235
16,16,EC,32,12.580824
16,16,EC,32,12.758941
16,16,EC,32,12.231588
16,16,EC,32,12.677882
16,16,EC,32,12.971176
16,16,EC,32,12.674824
16,16,EC,32,12.939118
16,16,EC,32,12.680706
16,16,EC,32,12.874353
16,16,EC,32,12.591000
16,16,EC,32,12.886941
16,16,EC,32,13.089588
16,16,EC,32,12.701471
16,16,EC,32,12.922176
16,16,EC,32,12.645294
16,16,EC,32,12.557882
16,16,EC,32,12.547000
16,16,EC,32,12.864824
16,16,EC,32,12.708353
16,16,EC,32,12.443235
16,16,EC,32,12.385294
16,16,EC,32,12.504235
16,16,EC,32,12.495882
16,16,EC,32,12.524765
16,16,EC,32,13.710412
16,16,EC,32,12.582882
16,16,EC,32,12.254176
16,16,EC,32,13.640412
16,16,EC,32,12.394941
16,16,EC,32,12.831824
16,16,EC,32,12.705059
16,16,EC,32,12.462765
16,16,EC,32,12.657765
16,16,EC,32,12.761882
16,16,EC,32,12.910647
16,16,EC,32,12.802059
16,16,EC,32,12.550941
16,16,EC,32,12.545353
16,16,EC,32,12.197353
16,16,EC,32,12.388647
16,16,EC,32,13.067882
16,16,EC,32,12.704824
16,16,EC,32,12.402588
16,16,EC,32,12.946588
16,16,EC,32,12.416647
16,16,EC,32,12.938647
16,16,EC,32,13.309529
16,16,EC,32,12.613765
16,16,EC,32,12.637765
16,16,EC,32,12.676176
16,16,EC,32,12.178706
16,16,EC,32,12.428235
16,16,EC,32,13.221294
16,16,EC,32,13.258412
16,16,EC,32,12.711882
16,16,EC,32,12.468824
